name,slug,parent,description
"Adapterek, kiegészítők, csőszájfékek",adapterek-kiegeszitok-csoszajfekek,A-Tec,
Gyorsoldású (A-Lock),gyorsoldasu-a-lock,A-Tec,
M14x1,m14x1,A-Tec,
M15x1,m15x1,A-Tec,
M16x1,m16x1,A-Tec,
M17x1,m17x1,A-Tec,
Pisztoly és karabély hangtompítók,pisztoly-es-karabely-hangtompitok,A-Tec,
Sörétes hangtompító 12ga,soretes-hangtompito-12ga,A-Tec,
M18x1,m18x1,A-Tec,
Hausken,hausken,Hangtompítók,
Hangtompítók,hangtompitok-hausken,Hausken,
Kiegészítők,kiegeszitok-hausken,Hausken,
Menetváltó,menetvalto,Hausken,
Steyr,steyr,Hangtompítók,
Merkel,merkel,Hangtompítók,
Umarex,umarex,Hangtompítók,
Lőtér,loter,,
Élménylövész csomagok,elmenylovesz-csomagok,Lőtér,
Egyéni csomagok,egyeni-csomagok,Élménylövész csomagok,
Csoportos csomagok,csoportos-csomagok,Élménylövész csomagok,
Lőtér bérletek,loter-berletek,Lőtér,
Lőtér foglalás,loter-foglalas,Lőtér,
Egyéni foglalás,egyeni-foglalas,Lőtér foglalás,
Lőtér bérlés,loter-berles,Lőtér foglalás,
Optika,optika,,
Vadkamera,vadkamera,Optika,
Céltávcső,celtavcso-optika,Optika,
32mm objektívig,32mm-objektivig,Céltávcső,
33-42mm objektív,33-42mm-objektiv,Céltávcső,
43-50mm objektív,43-50mm-objektiv,Céltávcső,
51mm objektívtől,51mm-objektivtol,Céltávcső,
Távolságmérő,tavolsagmero,Optika,
Hidegbelövő,hidegbelovo,Optika,
Éjjellátó,ejjellato,Optika,
Céltávcső,celtavcso-ejjellato,Éjjellátó,
"Előtét, mögétét",elotet-mogetet,Éjjellátó,
"Infravető, kiegészítő",infraveto-kiegeszito,Éjjellátó,
Hőkamera,hokamera,Optika,
Céltávcső,celtavcso-hokamera,Hőkamera,
Kézi kereső,kezi-kereso,Hőkamera,
Előtét,elotet-hokamera,Hőkamera,
"Szerelék, kiegészítő",szerelak-kiegeszito-hokamera,Hőkamera,
"Távcső alkatrészek, kiegészítők",tavcso-alkatreszek-kiegeszitok,Optika,
Lencsevédő kupak,lencsevedo-kupak,"Távcső alkatrészek, kiegészítők",
Árnyékoló,arnyekolo,"Távcső alkatrészek, kiegészítők",
"Távcsőszíj, adapter, tok",tavcsoszij-adapter-tok,"Távcső alkatrészek, kiegészítők",
Lencsetisztító,lencsetisztito,"Távcső alkatrészek, kiegészítők",
Távcső alkatrész,tavcso-alkatresz,"Távcső alkatrészek, kiegészítők",
Spektív,spektiv,Optika,
Keresőtávcső,keresotavcso,Optika,
Távcsőszerelékek,tavcsoszerelekek,Optika,
Weaver / Picatinny sínre,weaver-picatinny-sinre,Távcsőszerelékek,
"Kispuska, légpuska távcsőszerelék 9-11mm",kispuska-legpuska-tavcsoszerelek-9-11mm,Távcsőszerelékek,
Sínek,sinek,Távcsőszerelékek,
Kiegészítők,kiegeszitok-tavcsoszerelak,Távcsőszerelékek,
Fegyvertípushoz,fegyvertipushoz,Távcsőszerelékek,
Red Dot / Piros pont irányzék,red-dot-piros-pont-iranyzek,Optika,
Csillagásztávcső,csillagasztavcso,Optika,
Akciókamera,akciokamera,Optika,
Sportlétesítmény korszerűsítése,sportletesitmeny-korszerusitese,,
